Sentence 1	Sentence 2	Total score
Anh ấy giải thích rằng anh ấy đã tìm thấy Antetonitrus khi anh ấy đến Wits vào năm 2001 với tư cách là một trợ lý nghiên cứu sau tiến sĩ tại Đại học Bristol của Anh	Ông giải thích rằng ông đã tìm thấy antetonitrus khi ông đến Wits vào năm 2001 trong khi một trợ lý nghiên cứu sau tiến sĩ tại Đại học Bristol ở Anh	5.0
Air Canada, hãng hàng không lớn nhất Canada và số 11 trên thế giới, đã được tòa án bảo vệ từ các chủ nợ kể từ ngày 1 tháng Tư	Tay vợt số 11 hãng hàng không trên thế giới, Air Canada đã được dưới sự bảo hộ của tòa án từ chủ nợ kể từ 01 Tháng Tư	4.25
Bản sao lưu của quan chức an ninh không thể được điền vào vì anh ta đang làm nhiệm vụ quân sự tích cực, Strutt nói	sao lưu các quan chức an ninh là nhiệm vụ hoạt động, và các hiệp hội xổ số không có sự thay thế nào ở New Jersey, Strutt nói	3.4
Bồi thẩm đoàn cũng nhận thấy Gonzales phạm tội khi sử dụng vũ lực quá mức bằng cách ném OlveraCarrera bằng bình xịt hơi cay	Gonzales đã bị buộc tội sử dụng vũ lực quá mức bằng cách phun Olvera với bình xịt hơi cay	4.25
Thi thể của một số người chết, được kéo ra từ dưới tàu, được đặt bên cạnh đường ray trong khi các dịch vụ khẩn cấp mang theo quan tài bằng gỗ	Các cơ quan của nhiều người chết, kéo từ dưới tàu một phần bị lật đổ đã được đặt ra bởi các ca khúc chờ nhận dạng	3.25
Garner cho biết thị trưởng tự xưng của Baghdad, Mohammed Mohsen alZubaidi, đã được thả sau hai ngày bị giam giữ trong liên minh	Garner nói tự xưng Baghdad thị trưởng Mohammed Mohsen Zubaidi được phát hành 48 giờ sau khi ông bị giam giữ vào cuối tháng Tư	4.25
Các giám đốc điều hành của công ty Enron tham gia vào các vụ lừa đảo phổ biến và lan rộng, công tố viên Samuel Buell nói với hãng tin AP	Enron công ty giám đốc điều hành tham gia vào gian lận tràn lan và phổ biến để thao tác thu nhập kết quả của công ty, Buell phát biểu	3.75
Có vẻ như đối với tôi  chúng ta chỉ đang đối phó với các quyền khoe khoang ở đây, ai thắng và ai thua, Gammerman, người đã nghe vụ việc mà không có bồi thẩm đoàn nói	Gác lại lệ phí luật sư, chúng tôi đang làm việc với quyền khoe khoang của người thắng và người thua, Gammerman cho hay	3.667
Khách hàng trả phí vào cửa $ 1,219 nhận SMS 2003 với 10 giấy phép truy cập máy khách	giá bán lẻ cho SMS 2003 với giấy phép truy cập khách hàng 10 thiết bị là $ 1219	4.333
Kết quả của Khảo sát Thổ dân năm 2001 do Thống kê Canada công bố hôm qua cho thấy mức sống đã được cải thiện nhưng vẫn còn chậm trễ đối với những người dự trữ	Các thổ dân Survey 2001 Peoples bố hôm Thứ Tư bởi Thống kê Canada cho biết mức sống đã được cải thiện nhưng vẫn tụt hậu cho Inuit và những người rời khỏi dự trữ thường nghèo khổ của họ	3.909
Sự quay vòng gần đây trên thị trường chứng khoán và việc giảm bớt tuyên bố thất nghiệp sẽ giữ cho kỳ vọng của người tiêu dùng ở mức hiện tại và có thể báo hiệu thời kỳ kinh tế thuận lợi hơn phía trước	Việc quay vòng gần đây trong thị trường chứng khoán và nới lỏng định trong tuyên bố thất nghiệp có thể là dấu hiệu thời kỳ kinh tế thuận lợi hơn trước, bà nói	3.933
Trong khi giao dịch trong ngày không rõ ràng, chỉ số 500 của Standard  Poor đang chuẩn bị kết thúc giai đoạn ba tháng tốt nhất kể từ quý IV năm 1998	Chỉ số chứng khoán 500 của Standard  Poor đã kết thúc quý nầy với việc tăng 120 điểm, tăng 14%, hiệu suất tốt nhất cho điểm chuẩn thị trường rộng lớn đó kể từ năm 1998	3.75
Trong khi giao dịch trong ngày không rõ ràng, chỉ số 500 của Standard  Poor đang chuẩn bị kết thúc giai đoạn ba tháng tốt nhất kể từ quý IV năm 1998	chỉ số 500 cổ phiếu của Standard  Poor đã kết thúc quý lên 120 điểm, mức tăng 14 phần trăm, hiệu suất tốt nhất cho rằng điểm chuẩn thị trường rộng lớn từ năm 1998	3.75
Các nhà nghiên cứu tìm thấy những hóa thạch trong một khu vực semidesert của Venezuela, khoảng 250 dặm về phía tây Caracas	xương Phoberomys được khai quật 250 dặm về phía tây Caracas, Venezuela	3.75
ONA tuyên bố rõ ràng rằng họ không nhận được tài liệu tình báo cho thấy mạng lưới khủng bố Jemaah Islamiyah đang lên kế hoạch thực hiện một chiến dịch ở Bali	Nhưng mà không sân khấu đã làm ONA nhận tài liệu thông tin tình báo cho thấy Jemaah Islamiyah đã được lên kế hoạch để gắn kết một hoạt động tại Bali	4.25
Những báo cáo đã bị từ chối bởi bộ trưởng nội vụ, Hoàng tử Nayef	Tuy nhiên, Bộ trưởng Nội vụ Ả Rập, Hoàng tử Nayef, phủ nhận các báo cáo	4.25
Bryant trước đây đã nói rằng việc đi bộ có tác động lớn hơn đến nhu cầu so với các quan chức dự kiến	Giám đốc tài chính Andy Bryant đã nói rằng việc gia tăng đã ảnh hưởng đến một lớn hơn khối lượng so với các quan chức dự kiến	3.5
Đội The American Women, những người đang bảo vệ chức vô địch, sẽ chơi ở Philadelphia vào ngày 25 tháng 9 và kết thúc cuộc thi nhóm ở Columbus vào ngày 28 tháng 9	Những người phụ nữ Mỹ, là người đương kim vô địch, sẽ đóng vào ngày 25 Philadelphia và kết luận cuộc thi nhóm trên 28 tháng 9 ở Columbus, Ohio	4.75
Thẩm phán Leroy Millette Jr có thể giảm hình phạt cho tù chung thân mà không được tạm tha khi Muhammad chính thức bị kết án vào ngày 12 tháng 2, nhưng các thẩm phán Virginia hiếm khi có hành động như vậy	Mặc dù các thẩm phán có thể làm giảm hình phạt tù chung thân mà không cần tạm tha, chuyên gia cho rằng Virginia thẩm phán hiếm khi tận dụng cơ hội đó	3.25
Ông McDonnell đang dẫn đầu cuộc điều tra của Grant Thornton International về doanh nghiệp Ý	Ông McDonnell muốn thiết lập nếu doanh nghiệp Ý theo thủ tục kiểm toán Grant Thornton	2.75
Một phát ngôn viên của Bệnh viện Strong Memorial cho biết Doud đã ở trong tình trạng thỏa đáng vào tối thứ Ba	Một phát ngôn viên tại bệnh viện Memorial Mạnh nói Doud đã được đánh giá buổi tối thứ ba tại phòng cấp cứu	3.0
Ray Brent Marsh, 29 tuổi, đối mặt với nhiều tội lừa đảo dịch vụ chôn cất, đưa ra những tuyên bố sai lệch, lạm dụng xác chết và trộm cắp	Ray Brent Marsh, 29 tuổi, cũng phải đối mặt với tội danh lạm dụng của một cơ thể, và trộm cắp	3.8
Sau đó, Chủ tịch đại học Paul Pribbenow bảo ông hãy kết thúc bài phát biểu của mình	Sau micro Hedges được cắm phít cho một lần thứ hai, Pribbenow nói với ông để thúc bài phát biểu của mình	3.4
Toàn bộ kết thúc cuối ngày 306, năm 2003, đường cao tốc tăng 45%	Toàn bộ kết thúc cuối ngày 306, năm 2003, đường cao tốc tăng 45%	3.857
Toàn bộ kết thúc cuối ngày 306, năm 2003, đường cao tốc tăng 45%	Toàn bộ kết thúc cuối ngày 306, năm 2003, đường cao tốc tăng 45%	3.857
Sự nghiệp bóng rổ ngắn ngủi, rắc rối của Ricky Clemons từ đội Missouri đã kết thúc	Missouri đá Ricky Clemons tắt đội ngũ, kết thúc sự nghiệp khó khăn của mình ở đó	4.0
Các quan chức quân đội Hoa Kỳ nói rằng việc rửa cánh quạt từ trực thăng có thể đã thổi bay biểu ngữ	Các quan chức Mỹ cho biết giảm rotor rửa được tạo ra bởi các máy bay trực thăng lơ lửng tước lá cờ từ tháp	3.4
Hiệp hội lớn nhất của ngành đang kêu gọi các thành viên của mình không gọi hơn 50 triệu số nhà và số di động trong danh sách	Trong khi đó, Hiệp hội Tiếp thị trực tiếp biết các thành viên của nó không nên gọi gần 51 triệu số trong danh sách đố	3.2
Hiệp hội lớn nhất của ngành đang kêu gọi các thành viên của mình không gọi hơn 50 triệu số nhà và số di động trong danh sách	Trong khi đó, Hiệp hội Tiếp thị trực tiếp biết các thành viên của nó không nên gọi gần 51 triệu số trong danh sách	3.2
Thỏa thuận giải quyết có hiệu lực trong tuần này đã đạt được chưa đầy hai tháng sau khi OMalley nắm quyền lãnh đạo tổng giáo phận lớn thứ tư của quốc gia	Chưa đầy hai tháng sau khi Tổng Giám mục Sean OMalley lên nắm quyền lãnh đạo của giáo phận lớn thứ tư của quốc gia, một thỏa thuận trị giá 85 triệu đô la đã ký vào tháng Chín	3.0
Quốc hội Hoa Kỳ đã được sơ tán hôm qua sau khi nhà chức trách phát hiện một vật liệu nguy hiểm có thể trong tầng hầm của cánh Thượng viện, Cảnh sát thủ đô cho biết	Capitol Cảnh sát Mỹ sơ tán Capitol hôm qua sau khi một cảm biến phát hiện thảm họa sinh học có thể có trong cánh Thượng viện, nhưng sau đó chính quyền nói đó là một báo động giả	3.2
Cựu tổng thống cũng đã có nhiều bài phát biểu vào năm 2002 mà không cần bồi thường, người phát ngôn Jim Kennedy nói	Phát ngôn viên của ông Jim Kennedy cho biết cựu Tổng thống cũng đã hơn 70 bài phát biểu vào năm 2002 mà không bồi thường	3.6
Rộng lớn Standard  Poor 500 correlation chỉ số SPX là 0 46 điểm thấp hơn, hoặc 0 05%, đạt mức 99702	Standard  Poor của chỉ số 500 chứng khoán tương lai cho tháng Sáu đã giảm 2,60 điểm tại 965,70, trong khi Nasdaq kỳ hạn đã giảm 750 điểm còn 1,18350	1.6
Được đặt tên là Project Mad Hatter, máy tính để bàn dựa trên Linux đang được Sun quảng bá như một sự thay thế an toàn hơn và ít tốn kém hơn cho Windows	Được thiết kế để cạnh tranh với Microsoft Corp, dự án Mad Hatter đang được định vị bởi Sun như một hệ thống rẻ hơn, an toàn thay thế điều hành máy tính của Microsoft	3.8
Các công nhân cáo buộc Động lực học chung về phân biệt tuổi tác ngược vì sự thay đổi trong trợ cấp hưu trí năm 1997	General Dynamics đã bị kiện khi nó thay đổi phúc lợi hưu trí của nó vào năm 1997	2.6
Chỉ số hỗn hợp công nghệ Nasdaq IXIC giảm 5,16 điểm, tương đương 0,32%, ở mức 1590,75, phá vỡ chuỗi lợi nhuận trong sáu ngày	Chỉ số hỗn hợp Nasdaq nặng về công nghệ IXIC đã giảm 0,11%, tương đương 1,78 điểm, ở mức 1594,13	1.6
Chỉ số hỗn hợp công nghệ Nasdaq IXIC giảm 5,16 điểm, tương đương 0,32%, ở mức 1590,75, phá vỡ chuỗi lợi nhuận trong sáu ngày	Chỉ số Nasdaq Composite Index IXIC nghệ nặng đã giảm 0,11 phần trăm, hoặc 1,78 điểm, tại 1,59413	1.6
Một nhân vật quan trọng trong kế hoạch hối lộ của cựu Thủ quỹ Paul Silvester đã bị cáo buộc hôm thứ Tư đã thay đổi câu chuyện của ông về các giao dịch bị cáo buộc tham nhũng của Silvester với một công ty đầu tư ở Boston	Một cầu thủ quan trọng trong sơ đồ tham nhũng cựu nhà nước Thủ quỹ Paul Silvester của điều trần hôm thứ ba về lại quả và hối lộ Silvester giao dịch cho doanh nghiệp nhà nước	2.0
Nhiệm vụ của hệ thống CAPPS II đã và sẽ luôn là an ninh hàng không, chính quyền, một phần của Bộ An ninh Nội địa cho biết	Nhiệm vụ của hệ thống Capps II đã và sẽ luôn luôn được đảm bảo an ninh hàng không, họ nói	3.6
Hovan không nói, nhưng luật sư của ông, John Speranza, nói rằng thân chủ của ông không thức dậy vào ngày hôm đó có ý định làm tổn thương bất cứ ai	Hovan không thức dậy ngày hôm đó có ý định làm tổn thương bất cứ ai, luật sư bào chữa John Speranza cho biết	4.5
Chúng tôi tin rằng không cần thiết phải có một cuộc đấu tranh xác nhận gây chia rẽ đối với một cuộc hẹn của Tòa án tối cao, ông Daschle viết	Chúng tôi tin rằng đó không phải là cần thiết để có một cuộc chiến xác nhận gây chia rẽ, Daschle South Dakota đã viết tổng thống đảng Cộng hòa	4.0
Yahoo chiếm tới 159354 trang web BSD, với 152054 từ NTT  Verio và 129378 từ Infospace, cuộc khảo sát cho thấy	152054 Một là từ IP công ty dịch vụ NTT  Verio, và 129378 từ Giữ toàn quyền, các khảo sát cho thấy	3.0
Nhiệm vụ của Cơ sở Kính viễn vọng Hồng ngoại Không gian là tìm kiếm sự khởi đầu của vũ trụ	NASA đang lên kế hoạch để khởi động các cơ sở Space Telescope hồng ngoại vào sáng thứ Hai	2.5
Nhà sản xuất của nó, MedImmune Inc, có trụ sở tại Gaithersburg, đã thực hiện 4 triệu đến 5 triệu liều trong năm nay	MedImmune Vắc xin, nhà sản xuất của FluMist, thực hiện giữa 4 triệu và 5 triệu liều trong năm nay	3.5
Kaichen xuất hiện hôm thứ tư tại tòa án liên bang với hai tội cướp ngân hàng	Cô xuất hiện tại tòa án liên bang vào hôm thứ tư, nhưng không được đưa vào một lời biện hộ	3.0
Trong buổi tráo vị trí cấp cao nhất mới nhất tại CNN, Teya Ryan sẽ rời khỏi vị trí của mình với tư cách là tổng giám đốc lập trình của Hoa Kỳ, mạng đã thông báo	Trong một động thái mới nhất của CNN để trẻ hóa xếp hạng, mạng đã lật đổ Teya Ryan, tổng giám đốc của chương trình Mỹ cho biết	3.769
Anh ta bị nghi ngờ là nhân vật chủ chốt trong Jemaah Islamiyah, nhóm khủng bố liên kết với alQaeda, người bị quy trách nhiệm cho vụ đánh bom	Samudra, 32 tuổi, đang bị nghi ngờ là một nhân vật chủ chốt trong nhóm khủng bố alQaeda liên kết Jemaah Islamiyah, đã được đổ lỗi cho việc thực hiện các vụ đánh bom	3.4
Khoảng 100 lính cứu hỏa đang ở trong bosque ngày hôm nay, Trưởng phòng Cứu hỏa của Robert Robert Ortega cho biết	Chúng tôi đã giây xa có điều đó xảy ra, Albuquerque cháy trưởng Robert Ortega thông tin	1.8
Vấn đề đã được giải quyết, Chủ tịch Marlins David Samson nói thông qua một phát ngôn viên của câu lạc bộ	Các Marlins chỉ nói Vấn đề này đã được giải quyết	3.0
Bộ Y tế Trung Quốc cho biết thêm năm người đã chết vì Sars và hơn 159 người bị nhiễm bệnh	Hôm thứ Hai, Trung Quốc cho biết hơn chín người đã chết từ SARS và 160 người khác bị nhiễm virus	3.0
Tạp chí y tế đáng kính Lancet đã kêu gọi cấm hoàn toàn thuốc lá ở Anh	Tạp chí y tế UK hàng đầu  đã gọi thứ sáu cho một lệnh cấm hoàn toàn thuốc lá, khiến sự phẫn nộ từ các nhóm hút thuốc lá	3.4
Cổ phiếu của McDonald đã tăng 1,83 đô la, tương đương 8,3%, đóng cửa ở mức cao nhất trong ngày là 23,89 đô la	cổ phiếu McDonald tăng $ 1,83 để đóng thứ sáu tại $ 23,89 trên thị trường chứng khoán của New York	4.25
